tree_id,x,y,z
1,1.7478485408455047,-5.465475357508338,0.0
2,30.51659195111877,-6.903958192943603,0.0
3,42.60194927812629,5.760392107827476,0.0
4,52.667937498312625,4.830836263746864,0.0
5,35.73254527373347,-6.090036251014871,0.0
6,21.545182270365512,-3.944478300809096,0.0
7,52.07976244122036,-4.476864737719023,0.0
8,23.4353562236996,0.36039724251629845,0.0
9,15.149211849012602,-0.8689213252583388,0.0
10,5.2137070545664885,1.9674111430471921,0.0
11,54.84146631647704,-0.2734977314652136,0.0
12,47.45773477647715,-2.235480321622946,0.0
13,23.22965135662851,3.545565058992503,0.0
14,16.283260026590064,-3.524444617053134,0.0
15,30.773459178826574,4.0095272304874925,0.0
16,27.609289932741525,-4.648076512139003,0.0
17,42.2460334760822,5.0007568657361805,0.0
18,18.384060906162127,1.9907006270540357,0.0
19,39.30946587884202,3.9684405212033607,0.0
20,24.855183397593088,-0.3312776946997795,0.0
21,35.25736114937588,6.344651460062616,0.0
22,49.24186308751985,1.5753398510721688,0.0
23,37.26751638996411,-3.9072006201257334,0.0
24,54.723187543762634,1.3390387203898637,0.0
25,26.79058444610742,4.937612367568175,0.0
26,38.96053085716819,2.065035220233158,0.0
27,33.614908339391924,6.240560126351484,0.0
28,2.6811317749470547,4.4328229404993476,0.0
29,20.05015841362576,4.133013418085579,0.0
30,30.185817516846033,-3.984853696362669,0.0
31,25.710011193269818,0.13907045445430644,0.0
32,34.82032888244343,-2.098864319558011,0.0
33,44.86474717882075,-5.427742132074191,0.0
34,8.551395472400657,-1.5264184381173038,0.0
35,14.606055522756288,-5.5146832068367,0.0
36,44.64367734527391,6.363328877032252,0.0
37,40.03583898216262,3.1198221244329325,0.0
38,2.6595526408331223,6.265353811944763,0.0
39,38.43568110255052,-1.3763320336718534,0.0
40,51.181395501394164,-2.5639623207861897,0.0
41,52.89586657969681,-5.116578645521599,0.0
42,39.19328640209253,0.8719170190488938,0.0
43,36.5611567007473,-1.5164560925327066,0.0
44,9.932970893552083,0.8737719152839922,0.0
45,1.5380531996080027,0.2457538046056813,0.0
46,24.88514160775653,5.240976896856148,0.0
47,6.307140613427092,5.4717341738404635,0.0
48,3.832788049925806,3.5059474381809093,0.0
49,26.224532983213074,4.99578833172057,0.0
50,18.559699219001374,-0.947547820798027,0.0
51,23.618541805926117,1.2445751570037,0.0
52,4.077014403520467,5.981379416254619,0.0
53,42.106541511777074,0.7770350802311299,0.0
54,31.06914378189061,0.04074316035200809,0.0
55,10.427892040195724,0.23652327273456386,0.0
56,49.52046372494483,-0.16935607345690684,0.0
57,38.417794706896835,4.668103976270043,0.0
58,53.70970761603664,5.262201497707265,0.0
59,33.92969308218348,-2.7569299860425236,0.0
60,40.76430593945486,2.8713646324653084,0.0
61,45.088396568537235,0.32781855762894896,0.0
62,0.539270922765226,2.9427629453315074,0.0
63,7.084836598418372,5.547455254236951,0.0
64,7.0789731241388,5.498179998720566,0.0
65,46.8863043647595,-4.323828728331502,0.0
66,49.087315212277474,5.271292294602361,0.0
67,12.383188158052814,0.7051600532820625,0.0
68,37.87872053418347,0.8617393681991983,0.0
69,12.735958450786132,0.4004030076090741,0.0
70,51.96438664359671,-3.6301783584441365,0.0
